;04/01/2010;01/02/2010;01/03/2010;01/04/2010;03/05/2010;01/06/2010;01/07/2010;02/08/2010;01/09/2010;01/10/2010;01/11/2010;01/12/2010
1w;0,369;0,347;0,344;0,344;0,354;0,361;0,446;0,577;0,512;0,640;0,770;0,606
2w;0,393;0,361;0,361;0,358;0,367;0,375;0,46;0,6;0,544;0,665;0,795;0,668
3w;0,413;0,379;0,376;0,371;0,384;0,395;0,475;0,619;0,574;0,681;0,819;0,735
1m;0,453;0,425;0,415;0,4;0,414;0,428;0,505;0,646;0,619;0,704;0,848;0,812
2m;0,553;0,526;0,516;0,501;0,515;0,531;0,6;0,727;0,713;0,774;0,917;0,915
3m;0,700;0,665;0,655;0,635;0,665;0,702;0,782;0,898;0,886;0,942;1,046;1,026
4m;0,793;0,763;0,757;0,743;0,767;0,792;0,857;0,961;0,956;1,008;1,098;1,082
5m;0,886;0,852;0,847;0,838;0,864;0,888;0,952;1,048;1,038;1,085;1,177;1,162
6m;0,996;0,966;0,959;0,945;0,971;0,991;1,056;1,145;1,134;1,184;1,269;1,258
7m;1,036;1,002;0,994;0,987;1,009;1,034;1,097;1,191;1,186;1,237;1,317;1,301
8m;1,079;1,049;1,043;1,033;1,058;1,079;1,14;1,233;1,231;1,282;1,358;1,345
9m;1,129;1,097;1,092;1,088;1,111;1,132;1,191;1,289;1,280;1,332;1,410;1,398
10m;1,170;1,137;1,129;1,129;1,148;1,17;1,229;1,324;1,323;1,373;1,450;1,436
11m;1,209;1,180;1,168;1,17;1,188;1,208;1,269;1,367;1,365;1,416;1,492;1,482
12m;1,251;1,226;1,216;1,214;1,239;1,262;1,32;1,418;1,411;1,464;1,540;1,528
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
